mesaid,linetime,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,dayofweek,daybymidnight,daybynoon,stage,gt
5332,1900-01-01 17:00:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:00:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:01:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:01:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:02:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:02:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:03:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:03:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:04:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:04:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:05:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:05:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:06:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:06:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:07:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:07:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:08:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:08:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:09:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:09:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:10:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:10:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:11:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:11:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:12:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:12:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:13:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:13:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:14:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:14:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:15:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:15:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:16:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:16:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:17:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:17:30,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:18:00,1,,,,,,,,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:18:30,1,,,,,,,1.0,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:19:00,1,,,,,,,1.0,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:19:30,1,,,,,,,1.0,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:20:00,1,,,,,,,1.0,EXCLUDED,4,1,1,,0
5332,1900-01-01 17:20:30,0,43.0,1.0,37.72,4.44,3.14,0.384,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:21:00,0,0.0,0.0,133.57,7.15,12.8,4.95,0.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:21:30,0,0.0,0.0,90.29,4.84,8.69,3.21,0.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:22:00,0,23.0,0.0,125.46,5.63,12.3,4.95,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:22:30,0,0.0,0.0,118.42,5.51,11.5,4.95,0.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:23:00,0,28.0,0.0,65.86,3.07,6.42,2.64,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:23:30,0,18.0,0.0,7.29,1.38,0.477,0.0596,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:24:00,0,53.0,0.0,22.38,1.57,2.08,0.632,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:24:30,0,412.0,0.0,94.13,4.16,9.27,3.42,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:25:00,0,31.0,0.0,49.21,2.22,4.84,1.75,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:25:30,0,0.0,0.0,10.39,0.579,0.996,0.352,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:26:00,0,118.0,0.0,18.58,1.64,1.64,0.555,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:26:30,0,118.0,0.0,304.18,28.0,27.4,2.27,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:27:00,0,9.0,0.0,76.97,4.84,7.15,3.35,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:27:30,0,0.0,0.0,98.12,5.51,9.27,4.34,0.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:28:00,0,16.0,0.0,118.79,5.88,11.5,4.54,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:28:30,0,0.0,0.0,126.06,6.01,12.3,4.74,0.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:29:00,0,16.0,0.0,74.17,3.9,7.15,2.7,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:29:30,0,53.0,0.0,20.93,1.44,1.95,0.618,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:30:00,0,0.0,0.0,20.23,1.32,1.91,0.555,0.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:30:30,0,28.0,0.0,12.34,1.13,1.09,0.296,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:31:00,0,33.0,0.0,15.04,0.913,1.44,0.384,1.0,ACTIVE,4,1,1,,0
5332,1900-01-01 17:31:30,0,6.0,0.0,9.45,0.82,0.856,0.127,0.0,ACTIVE,4,1,1,,0
